req_id,timestamp,cpu_requested,mem_requested,task_duration
REQ_10134,54,0.163,0.06,66
REQ_10135,54,0.248,0.034,27
REQ_10136,54,0.16,0.04,28
REQ_10137,55,0.174,0.092,13
REQ_10138,55,0.077,0.042,23
REQ_10139,56,0.055,0.064,62
REQ_10140,57,0.098,0.021,110
REQ_10141,57,0.141,0.052,84
REQ_10142,57,0.084,0.034,103
REQ_10143,58,0.099,0.036,114
REQ_10144,58,0.137,0.039,73
REQ_10145,59,0.084,0.144,44
REQ_10146,59,0.234,0.02,118
REQ_10147,59,0.105,0.118,92
REQ_10148,60,0.076,0.093,101
REQ_10149,61,0.237,0.082,36
REQ_10150,61,0.146,0.15,65
REQ_10151,62,0.058,0.125,61
REQ_10152,62,0.146,0.141,72
REQ_10153,62,0.064,0.04,108
REQ_10154,62,0.226,0.041,79
REQ_10155,62,0.128,0.04,16
REQ_10156,62,0.069,0.068,15
REQ_10157,63,0.084,0.034,26
REQ_10158,63,0.157,0.031,90
REQ_10159,63,0.141,0.07,114
REQ_10160,64,0.165,0.044,103
REQ_10161,65,0.193,0.147,104
REQ_10162,65,0.171,0.108,57
REQ_10163,65,0.119,0.14,103
REQ_10164,65,0.249,0.078,42
REQ_10165,65,0.117,0.138,75
REQ_10166,65,0.233,0.122,97
REQ_10167,66,0.205,0.079,65
REQ_10168,66,0.178,0.055,11
REQ_10169,66,0.24,0.111,100
REQ_10170,66,0.136,0.063,117
REQ_10171,67,0.13,0.075,56
REQ_10172,67,0.184,0.11,34
REQ_10173,67,0.075,0.061,73
REQ_10174,67,0.226,0.089,16
REQ_10175,69,0.082,0.045,53
REQ_10176,69,0.202,0.111,88
REQ_10177,70,0.176,0.057,95
REQ_10178,70,0.097,0.056,25
REQ_10179,70,0.215,0.112,90
REQ_10180,70,0.216,0.065,64
REQ_10181,71,0.24,0.147,29
REQ_10182,71,0.13,0.105,84
REQ_10183,71,0.198,0.089,113
REQ_10184,71,0.139,0.148,47
REQ_10185,72,0.197,0.088,15
REQ_10186,72,0.17,0.059,103
REQ_10187,72,0.205,0.062,82
REQ_10188,73,0.183,0.046,64
REQ_10189,73,0.117,0.036,15
REQ_10190,74,0.12,0.042,11
REQ_10191,74,0.189,0.127,80
REQ_10192,75,0.201,0.087,51
REQ_10193,75,0.248,0.118,109
REQ_10194,76,0.061,0.075,72
REQ_10195,76,0.175,0.093,48
REQ_10196,77,0.101,0.073,38
REQ_10197,77,0.182,0.114,12
REQ_10198,78,0.138,0.051,35
REQ_10199,78,0.064,0.134,19
REQ_10200,78,0.198,0.048,68
REQ_10201,78,0.056,0.131,67
REQ_10202,78,0.126,0.134,26
REQ_10203,79,0.204,0.137,97
REQ_10204,79,0.236,0.149,108
REQ_10205,79,0.103,0.092,15
REQ_10206,79,0.176,0.026,43
REQ_10207,80,0.105,0.032,114
REQ_10208,81,0.136,0.109,83
REQ_10209,81,0.054,0.112,114
REQ_10210,82,0.206,0.115,26
REQ_10211,82,0.098,0.114,80
REQ_10212,82,0.196,0.059,21
REQ_10213,82,0.217,0.094,52
REQ_10214,82,0.05,0.097,57
REQ_10215,82,0.141,0.025,72
REQ_10216,83,0.13,0.025,66
REQ_10217,84,0.211,0.067,44
REQ_10218,84,0.189,0.068,47
REQ_10219,84,0.089,0.088,65
REQ_10220,84,0.196,0.1,108
REQ_10221,85,0.235,0.083,92
REQ_10222,85,0.145,0.139,25
REQ_10223,86,0.072,0.136,92
REQ_10224,86,0.202,0.025,77
REQ_10225,87,0.222,0.128,105
REQ_10226,87,0.09,0.102,87
REQ_10227,87,0.06,0.097,103
REQ_10228,87,0.182,0.132,107
REQ_10229,87,0.093,0.08,76
REQ_10230,88,0.12,0.031,17
REQ_10231,88,0.137,0.11,104
REQ_10232,89,0.191,0.031,99
REQ_10233,89,0.222,0.112,35
REQ_10234,89,0.2,0.074,81
REQ_10235,90,0.227,0.142,86
REQ_10236,90,0.137,0.048,34
REQ_10237,90,0.051,0.13,90
REQ_10238,91,0.064,0.095,57
REQ_10239,91,0.196,0.102,94
REQ_10240,91,0.188,0.138,74
REQ_10241,92,0.174,0.107,103
REQ_10242,92,0.249,0.147,81
REQ_10243,93,0.062,0.07,86
REQ_10244,93,0.22,0.022,100
REQ_10245,93,0.149,0.048,22
REQ_10246,94,0.182,0.113,17
REQ_10247,94,0.209,0.099,97
REQ_10248,94,0.144,0.139,71
REQ_10249,94,0.167,0.033,81
REQ_10250,94,0.069,0.096,54
REQ_10251,94,0.19,0.086,52
REQ_10252,95,0.174,0.121,64
REQ_10253,95,0.225,0.071,15
REQ_10254,95,0.095,0.117,16
REQ_10255,95,0.216,0.063,54
REQ_10256,95,0.065,0.099,18
REQ_10257,96,0.119,0.048,111
REQ_10258,96,0.164,0.118,58
REQ_10259,96,0.087,0.132,45
REQ_10260,96,0.187,0.119,12
REQ_10261,96,0.112,0.032,85
REQ_10262,96,0.198,0.103,117
REQ_10263,97,0.145,0.043,54
REQ_10264,97,0.233,0.078,33
REQ_10265,97,0.067,0.03,90
REQ_10266,97,0.214,0.049,49
REQ_10267,98,0.101,0.08,11
REQ_10268,98,0.174,0.143,45
REQ_10269,98,0.242,0.093,61
REQ_10270,99,0.108,0.052,82
REQ_10271,99,0.112,0.09,78
REQ_10272,100,0.128,0.066,46
REQ_10273,100,0.155,0.084,79
REQ_10274,101,0.058,0.087,117
REQ_10275,101,0.217,0.065,76
REQ_10276,101,0.082,0.078,68
REQ_10277,101,0.229,0.146,22
REQ_10278,101,0.135,0.049,34
REQ_10279,101,0.129,0.044,11
REQ_10280,102,0.241,0.056,56
REQ_10281,102,0.178,0.109,59
REQ_10282,103,0.235,0.059,69
REQ_10283,103,0.211,0.091,25
REQ_10284,103,0.072,0.054,95
REQ_10285,104,0.146,0.057,93
REQ_10286,104,0.099,0.127,86
REQ_10287,104,0.068,0.022,29
REQ_10288,104,0.081,0.095,37
REQ_10289,105,0.117,0.082,90
REQ_10290,105,0.236,0.089,18
REQ_10291,105,0.182,0.121,85
REQ_10292,106,0.176,0.026,115
REQ_10293,106,0.076,0.125,105
REQ_10294,106,0.134,0.148,89
REQ_10295,107,0.156,0.111,22
REQ_10296,107,0.132,0.031,87
REQ_10297,107,0.2,0.024,58
REQ_10298,107,0.148,0.104,48
REQ_10299,107,0.063,0.022,56
REQ_10300,108,0.071,0.059,33
REQ_10301,108,0.058,0.107,45
REQ_10302,108,0.17,0.128,96
REQ_10303,108,0.079,0.081,98
REQ_10304,109,0.154,0.051,86
REQ_10305,109,0.072,0.043,27
REQ_10306,109,0.134,0.033,52
REQ_10307,110,0.233,0.027,20
REQ_10308,110,0.169,0.105,62
REQ_10309,110,0.106,0.021,49
REQ_10310,111,0.206,0.102,113
REQ_10311,111,0.189,0.129,109
REQ_10312,111,0.231,0.122,40
REQ_10313,111,0.051,0.073,32
REQ_10314,111,0.194,0.105,48
REQ_10315,111,0.094,0.105,34
REQ_10316,112,0.092,0.034,45
REQ_10317,112,0.173,0.021,47
REQ_10318,112,0.119,0.11,86
REQ_10319,112,0.2,0.07,109
REQ_10320,113,0.127,0.134,69
REQ_10321,113,0.081,0.114,100
REQ_10322,113,0.243,0.07,102
REQ_10323,113,0.077,0.112,105
REQ_10324,114,0.206,0.075,101
REQ_10325,114,0.145,0.06,24
REQ_10326,114,0.12,0.046,48
REQ_10327,114,0.136,0.086,110
REQ_10328,115,0.122,0.091,23
REQ_10329,115,0.247,0.103,38
REQ_10330,115,0.108,0.125,98
REQ_10331,115,0.236,0.075,12
REQ_10332,116,0.074,0.062,26
REQ_10333,116,0.088,0.088,20
REQ_10334,116,0.11,0.035,57
REQ_10335,116,0.137,0.022,60
REQ_10336,117,0.111,0.076,73
REQ_10337,117,0.153,0.024,92
REQ_10338,118,0.117,0.127,107
REQ_10339,118,0.158,0.054,71
REQ_10340,119,0.189,0.052,14
REQ_10341,119,0.157,0.084,63
REQ_10342,119,0.224,0.089,84
REQ_10343,119,0.106,0.096,19
REQ_10344,120,0.13,0.049,114
REQ_10345,120,0.168,0.102,35
REQ_10346,120,0.115,0.08,18
REQ_10347,121,0.076,0.093,26
REQ_10348,121,0.237,0.021,66
REQ_10349,121,0.174,0.086,64
REQ_10350,122,0.155,0.074,68
REQ_10351,122,0.126,0.14,83
REQ_10352,123,0.207,0.129,91
REQ_10353,124,0.19,0.023,78
REQ_10354,124,0.096,0.139,114
REQ_10355,124,0.071,0.087,114
REQ_10356,126,0.205,0.08,27
REQ_10357,126,0.228,0.121,91
REQ_10358,126,0.249,0.032,28
REQ_10359,126,0.099,0.067,81
REQ_10360,126,0.091,0.046,99
REQ_10361,127,0.135,0.061,111
REQ_10362,127,0.224,0.055,39
REQ_10363,127,0.238,0.024,93
REQ_10364,128,0.061,0.054,28
REQ_10365,128,0.192,0.046,25
REQ_10366,128,0.146,0.063,75
REQ_10367,128,0.141,0.144,69
REQ_10368,128,0.148,0.084,33
REQ_10369,128,0.154,0.131,37
REQ_10370,128,0.212,0.028,48
REQ_10371,129,0.142,0.074,41
REQ_10372,129,0.059,0.03,21
REQ_10373,130,0.159,0.117,27
REQ_10374,130,0.159,0.135,16
REQ_10375,130,0.123,0.06,20
REQ_10376,130,0.063,0.083,82
REQ_10377,131,0.085,0.141,61
REQ_10378,131,0.177,0.093,21
REQ_10379,132,0.166,0.15,82
REQ_10380,132,0.218,0.124,69
REQ_10381,132,0.161,0.056,62
REQ_10382,132,0.138,0.042,67
REQ_10383,132,0.163,0.03,52
REQ_10384,135,0.223,0.023,49
REQ_10385,135,0.05,0.106,95
REQ_10386,135,0.182,0.119,109
REQ_10387,135,0.125,0.069,73
REQ_10388,135,0.136,0.116,86
REQ_10389,136,0.226,0.1,76
REQ_10390,137,0.131,0.111,77
REQ_10391,137,0.087,0.027,109
REQ_10392,138,0.101,0.063,21
REQ_10393,138,0.119,0.082,99
REQ_10394,138,0.082,0.043,54
REQ_10395,139,0.116,0.133,77
REQ_10396,139,0.133,0.095,77
REQ_10397,139,0.073,0.095,69
REQ_10398,140,0.246,0.131,107
REQ_10399,140,0.234,0.077,61
REQ_10400,140,0.172,0.058,58
REQ_10401,140,0.127,0.149,110
REQ_10402,141,0.206,0.134,72
REQ_10403,141,0.095,0.103,84
REQ_10404,141,0.131,0.148,96
REQ_10405,142,0.127,0.044,51
REQ_10406,142,0.199,0.046,96
REQ_10407,143,0.069,0.147,89
REQ_10408,143,0.105,0.076,44
REQ_10409,143,0.175,0.132,14
REQ_10410,144,0.213,0.044,18
REQ_10411,144,0.126,0.089,50
REQ_10412,145,0.214,0.143,91
REQ_10413,146,0.111,0.08,35
REQ_10414,148,0.18,0.075,59
REQ_10415,148,0.069,0.129,55
REQ_10416,149,0.092,0.14,73
REQ_10417,150,0.069,0.036,112
REQ_10418,150,0.159,0.065,89
REQ_10419,150,0.123,0.049,56
REQ_10420,150,0.117,0.099,49
REQ_10421,152,0.112,0.119,32
REQ_10422,153,0.24,0.092,97
REQ_10423,153,0.111,0.028,91
REQ_10424,153,0.147,0.07,77
REQ_10425,153,0.234,0.028,100
REQ_10426,153,0.109,0.052,33
REQ_10427,153,0.106,0.115,99
REQ_10428,154,0.084,0.069,22
REQ_10429,154,0.148,0.103,21
REQ_10430,154,0.158,0.124,18
REQ_10431,154,0.138,0.133,24
REQ_10432,155,0.153,0.136,50
REQ_10433,155,0.208,0.106,70
REQ_10434,156,0.198,0.069,33
REQ_10435,156,0.234,0.133,76
REQ_10436,156,0.074,0.091,25
REQ_10437,156,0.161,0.127,68
REQ_10438,157,0.207,0.146,70
REQ_10439,157,0.054,0.03,93
REQ_10440,157,0.215,0.116,99
REQ_10441,157,0.174,0.088,102
REQ_10442,159,0.233,0.077,61
REQ_10443,159,0.078,0.054,38
REQ_10444,159,0.095,0.126,60
REQ_10445,159,0.061,0.1,69
REQ_10446,159,0.101,0.043,113
REQ_10447,160,0.103,0.049,90
REQ_10448,160,0.105,0.089,39
REQ_10449,160,0.099,0.036,110
REQ_10450,160,0.124,0.13,10
REQ_10451,160,0.114,0.149,33
REQ_10452,160,0.197,0.091,94
REQ_10453,160,0.093,0.044,101
REQ_10454,161,0.196,0.05,91
REQ_10455,162,0.146,0.03,58
REQ_10456,162,0.191,0.037,11
REQ_10457,163,0.228,0.032,81
REQ_10458,163,0.086,0.091,25
REQ_10459,163,0.105,0.031,18
REQ_10460,163,0.056,0.039,59
REQ_10461,163,0.164,0.094,17
REQ_10462,163,0.066,0.053,70
REQ_10463,163,0.17,0.04,95
REQ_10464,164,0.202,0.097,98
REQ_10465,164,0.226,0.133,91
REQ_10466,164,0.238,0.044,23
REQ_10467,164,0.108,0.115,65
REQ_10468,164,0.215,0.067,14
REQ_10469,164,0.106,0.054,61
REQ_10470,165,0.248,0.06,42
REQ_10471,165,0.081,0.098,45
REQ_10472,165,0.128,0.024,66
REQ_10473,165,0.072,0.027,13
REQ_10474,166,0.175,0.096,21
REQ_10475,166,0.233,0.083,24
REQ_10476,167,0.216,0.093,10
REQ_10477,167,0.214,0.101,107
REQ_10478,167,0.205,0.078,72
REQ_10479,167,0.247,0.03,54
REQ_10480,167,0.171,0.034,32
REQ_10481,168,0.155,0.083,103
REQ_10482,168,0.118,0.028,108
REQ_10483,168,0.081,0.053,51
REQ_10484,168,0.072,0.043,65
REQ_10485,169,0.054,0.054,102
REQ_10486,169,0.138,0.101,51
REQ_10487,169,0.207,0.123,23
REQ_10488,170,0.125,0.115,76
REQ_10489,170,0.098,0.14,84
REQ_10490,170,0.231,0.123,19
REQ_10491,171,0.191,0.127,38
REQ_10492,171,0.232,0.146,114
REQ_10493,172,0.122,0.129,81
REQ_10494,172,0.201,0.145,48
REQ_10495,172,0.092,0.136,16
REQ_10496,173,0.224,0.071,56
REQ_10497,173,0.232,0.079,115
REQ_10498,173,0.247,0.02,28
REQ_10499,174,0.138,0.115,112
REQ_10500,174,0.177,0.055,109
REQ_10501,174,0.169,0.076,64
REQ_10502,174,0.128,0.05,119
REQ_10503,174,0.118,0.146,25
REQ_10504,175,0.1,0.118,29
REQ_10505,176,0.212,0.099,85
REQ_10506,176,0.069,0.134,14
REQ_10507,176,0.204,0.129,89
REQ_10508,176,0.163,0.026,61
REQ_10509,176,0.061,0.107,109
REQ_10510,176,0.232,0.139,90
REQ_10511,176,0.208,0.022,60
REQ_10512,177,0.068,0.121,94
REQ_10513,178,0.184,0.081,62
REQ_10514,178,0.107,0.039,21
REQ_10515,179,0.155,0.126,87
REQ_10516,179,0.059,0.051,21
REQ_10517,180,0.132,0.149,71
REQ_10518,181,0.06,0.087,62
REQ_10519,181,0.098,0.033,39
REQ_10520,181,0.159,0.089,64
REQ_10521,181,0.079,0.063,57
REQ_10522,181,0.126,0.084,45
REQ_10523,182,0.07,0.025,39
REQ_10524,182,0.155,0.115,13
REQ_10525,182,0.101,0.033,25
REQ_10526,182,0.191,0.075,33
REQ_10527,183,0.177,0.033,103
REQ_10528,183,0.128,0.026,35
REQ_10529,183,0.122,0.148,18
REQ_10530,184,0.128,0.036,28
REQ_10531,184,0.245,0.044,80
REQ_10532,184,0.088,0.137,62
REQ_10533,184,0.237,0.078,77
REQ_10534,184,0.109,0.131,38
REQ_10535,184,0.12,0.099,22
REQ_10536,185,0.055,0.04,86
REQ_10537,185,0.179,0.132,80
REQ_10538,185,0.156,0.094,119
REQ_10539,185,0.092,0.129,23
REQ_10540,185,0.202,0.084,106
REQ_10541,186,0.217,0.121,35
REQ_10542,186,0.141,0.021,84
REQ_10543,186,0.081,0.138,76
REQ_10544,187,0.152,0.109,82
REQ_10545,187,0.198,0.022,71
REQ_10546,187,0.079,0.148,29
REQ_10547,188,0.086,0.117,33
REQ_10548,188,0.105,0.06,58
REQ_10549,188,0.194,0.132,94
REQ_10550,188,0.121,0.034,27
REQ_10551,189,0.219,0.115,92
REQ_10552,189,0.134,0.077,81
REQ_10553,189,0.139,0.066,110
REQ_10554,190,0.11,0.021,100
REQ_10555,190,0.215,0.1,35
REQ_10556,191,0.102,0.062,21
REQ_10557,191,0.153,0.115,24
REQ_10558,191,0.123,0.05,65
REQ_10559,191,0.137,0.051,110
REQ_10560,191,0.094,0.027,91
REQ_10561,191,0.141,0.07,32
REQ_10562,192,0.246,0.134,112
REQ_10563,192,0.21,0.05,24
REQ_10564,192,0.086,0.051,34
REQ_10565,192,0.192,0.109,85
REQ_10566,193,0.056,0.049,42
REQ_10567,193,0.209,0.068,62
REQ_10568,193,0.196,0.029,88
REQ_10569,194,0.245,0.087,58
REQ_10570,194,0.218,0.111,58
REQ_10571,194,0.244,0.065,69
REQ_10572,194,0.101,0.107,71
REQ_10573,195,0.068,0.087,111
REQ_10574,195,0.123,0.093,84
REQ_10575,195,0.243,0.103,76
REQ_10576,195,0.063,0.12,85
REQ_10577,195,0.176,0.135,78
REQ_10578,196,0.123,0.03,27
REQ_10579,196,0.114,0.106,71
REQ_10580,196,0.113,0.146,16
REQ_10581,196,0.093,0.034,54
REQ_10582,197,0.108,0.126,82
REQ_10583,197,0.106,0.131,30
REQ_10584,197,0.136,0.043,11
REQ_10585,199,0.241,0.083,92
REQ_10586,199,0.143,0.035,117
REQ_10587,199,0.101,0.028,93
REQ_10588,200,0.094,0.105,65
REQ_10589,201,0.126,0.08,107
REQ_10590,202,0.207,0.141,79
REQ_10591,202,0.247,0.03,11
REQ_10592,202,0.231,0.096,77
REQ_10593,202,0.1,0.052,92
REQ_10594,203,0.072,0.117,36
REQ_10595,203,0.162,0.08,110
REQ_10596,204,0.086,0.075,51
REQ_10597,204,0.066,0.051,69
REQ_10598,204,0.198,0.144,28
REQ_10599,205,0.214,0.105,105
REQ_10600,205,0.17,0.123,118
REQ_10601,205,0.244,0.124,84
REQ_10602,205,0.171,0.051,46
REQ_10603,206,0.101,0.035,117
REQ_10604,206,0.119,0.12,72
REQ_10605,206,0.122,0.061,15
REQ_10606,207,0.2,0.1,106
REQ_10607,207,0.065,0.096,92
REQ_10608,207,0.2,0.132,67
REQ_10609,207,0.068,0.044,82
REQ_10610,207,0.197,0.105,74
REQ_10611,208,0.111,0.045,15
REQ_10612,208,0.069,0.081,83
REQ_10613,208,0.134,0.105,119
REQ_10614,208,0.122,0.123,54
REQ_10615,208,0.122,0.051,71
REQ_10616,209,0.214,0.091,50
REQ_10617,209,0.214,0.142,39
REQ_10618,210,0.149,0.106,76
REQ_10619,210,0.116,0.03,31
REQ_10620,210,0.207,0.12,17
REQ_10621,210,0.218,0.072,34
REQ_10622,210,0.192,0.062,71
REQ_10623,211,0.207,0.054,64
REQ_10624,212,0.079,0.045,116
REQ_10625,212,0.222,0.029,47
REQ_10626,213,0.057,0.029,33
REQ_10627,214,0.146,0.106,87
REQ_10628,214,0.052,0.029,53
REQ_10629,214,0.224,0.132,13
REQ_10630,214,0.074,0.072,104
REQ_10631,214,0.104,0.148,32
REQ_10632,214,0.235,0.082,71
REQ_10633,215,0.196,0.047,35
REQ_10634,215,0.222,0.049,15
REQ_10635,215,0.062,0.147,26
REQ_10636,215,0.091,0.142,54
REQ_10637,215,0.248,0.144,53
REQ_10638,215,0.077,0.026,86
REQ_10639,216,0.083,0.15,43
REQ_10640,216,0.054,0.077,27
REQ_10641,216,0.168,0.048,27
REQ_10642,217,0.132,0.097,36
REQ_10643,217,0.172,0.055,53
REQ_10644,218,0.238,0.086,84
REQ_10645,219,0.11,0.065,53
REQ_10646,219,0.183,0.035,31
REQ_10647,219,0.192,0.129,83
REQ_10648,219,0.06,0.135,55
REQ_10649,219,0.132,0.097,52
REQ_10650,220,0.238,0.107,33
REQ_10651,220,0.201,0.026,80
REQ_10652,221,0.148,0.138,68
REQ_10653,222,0.208,0.149,100
REQ_10654,222,0.075,0.022,33
REQ_10655,222,0.078,0.041,80
REQ_10656,222,0.078,0.056,102
REQ_10657,223,0.194,0.07,60
REQ_10658,224,0.244,0.113,19
REQ_10659,224,0.073,0.088,13
REQ_10660,224,0.142,0.075,111
REQ_10661,224,0.198,0.075,26
REQ_10662,224,0.053,0.145,90
REQ_10663,225,0.163,0.04,101
REQ_10664,226,0.101,0.06,72
REQ_10665,226,0.208,0.125,41
REQ_10666,226,0.222,0.086,25
REQ_10667,226,0.215,0.045,28
REQ_10668,227,0.223,0.094,57
REQ_10669,228,0.225,0.074,24
REQ_10670,228,0.147,0.065,82
REQ_10671,229,0.167,0.053,37
REQ_10672,230,0.225,0.142,95
REQ_10673,230,0.052,0.027,118
REQ_10674,231,0.166,0.053,19
REQ_10675,231,0.187,0.04,97
REQ_10676,232,0.225,0.09,117
REQ_10677,232,0.215,0.037,110
REQ_10678,232,0.092,0.087,20
REQ_10679,233,0.231,0.121,35
REQ_10680,233,0.136,0.109,74
REQ_10681,234,0.19,0.139,117
REQ_10682,234,0.129,0.066,32
REQ_10683,234,0.097,0.096,88
REQ_10684,234,0.077,0.108,107
REQ_10685,234,0.189,0.103,113
REQ_10686,234,0.068,0.109,53
REQ_10687,234,0.114,0.107,92
REQ_10688,235,0.232,0.044,68
REQ_10689,235,0.172,0.134,100
REQ_10690,235,0.12,0.1,30
REQ_10691,236,0.136,0.148,78
REQ_10692,236,0.138,0.026,58
REQ_10693,237,0.241,0.14,14
REQ_10694,237,0.081,0.102,22
REQ_10695,237,0.067,0.064,94
REQ_10696,237,0.173,0.138,68
REQ_10697,238,0.128,0.129,74
REQ_10698,238,0.204,0.117,95
REQ_10699,238,0.051,0.109,110
REQ_10700,239,0.064,0.088,40
REQ_10701,239,0.202,0.044,55
REQ_10702,239,0.085,0.06,82
REQ_10703,239,0.201,0.041,69
REQ_10704,239,0.057,0.095,76
REQ_10705,239,0.234,0.024,37
REQ_10706,240,0.234,0.035,11
REQ_10707,240,0.073,0.068,16
REQ_10708,240,0.238,0.02,54
REQ_10709,241,0.066,0.09,28
REQ_10710,241,0.06,0.037,111
REQ_10711,241,0.218,0.121,25
REQ_10712,241,0.217,0.066,114
REQ_10713,242,0.099,0.137,67
REQ_10714,243,0.158,0.075,107
REQ_10715,243,0.24,0.084,64
REQ_10716,243,0.144,0.112,36
REQ_10717,243,0.068,0.085,100
REQ_10718,244,0.166,0.056,97
REQ_10719,244,0.144,0.116,106
REQ_10720,244,0.123,0.091,87
REQ_10721,244,0.176,0.045,39
REQ_10722,244,0.178,0.081,107
REQ_10723,244,0.209,0.091,97
REQ_10724,244,0.191,0.039,74
REQ_10725,244,0.228,0.088,19
REQ_10726,244,0.213,0.052,110
REQ_10727,245,0.084,0.082,85
REQ_10728,245,0.215,0.116,117
REQ_10729,245,0.17,0.055,89
REQ_10730,245,0.14,0.135,65
REQ_10731,246,0.132,0.053,25
REQ_10732,247,0.114,0.119,63
REQ_10733,247,0.06,0.064,77
REQ_10734,247,0.088,0.029,69
